movieId,personId,category
tt0000001,nm0000001,director
tt0000002,nm0000002,director
tt0000003,nm0000003,director
tt0000004,nm0000004,director
tt0000005,nm0000005,director
tt0000006,nm0000006,director
tt0000007,nm0000007,director
tt0000008,nm0000008,director
tt0000009,nm0000009,director
tt0000010,nm0000010,director
tt0000011,nm0000011,director
tt0000012,nm0000012,director
tt0000013,nm0000013,director
tt0000014,nm0000014,director
tt0000015,nm0000015,director
tt0000016,nm0000016,director
tt0000017,nm0000017,director
tt0000018,nm0000018,director
tt0000019,nm0000019,director
tt0000020,nm0000020,director
tt0000021,nm0000021,director
tt0000022,nm0000022,director
tt0000023,nm0000023,director
tt0000024,nm0000024,director
tt0000025,nm0000025,director
tt0000026,nm0000026,director
tt0000027,nm0000027,director
tt0000028,nm0000028,director
tt0000029,nm0000029,director
tt0000030,nm0000030,director
tt0000031,nm0000031,director
tt0000032,nm0000032,director
tt0000033,nm0000033,director
tt0000034,nm0000034,director
tt0000035,nm0000035,director
tt0000036,nm0000036,director
tt0000037,nm0000037,director
tt0000038,nm0000038,director
tt0000039,nm0000039,director
tt0000040,nm0000040,director
tt0000041,nm0000041,director
tt0000042,nm0000042,director
tt0000043,nm0000043,director
tt0000044,nm0000044,director
tt0000045,nm0000045,director
tt0000046,nm0000046,director
tt0000047,nm0000047,director
tt0000048,nm0000048,director
tt0000049,nm0000049,director
tt0000050,nm0000050,director
tt0000051,nm0000051,director
tt0000052,nm0000052,director
tt0000053,nm0000053,director
tt0000054,nm0000054,director
tt0000055,nm0000055,director
tt0000056,nm0000056,director
tt0000057,nm0000057,director
tt0000058,nm0000058,director
tt0000059,nm0000059,director
tt0000060,nm0000060,director
tt0000061,nm0000061,director
tt0000062,nm0000062,director
tt0000063,nm0000063,director
tt0000064,nm0000064,director
tt0000065,nm0000065,director
tt0000066,nm0000066,director
tt0000067,nm0000067,director
tt0000068,nm0000068,director
tt0000069,nm0000069,director
tt0000070,nm0000070,director
tt0000071,nm0000071,director
tt0000072,nm0000072,director
tt0000073,nm0000073,director
tt0000074,nm0000074,director
tt0000075,nm0000075,director
tt0000076,nm0000076,director
tt0000077,nm0000077,director
tt0000078,nm0000078,director
tt0000079,nm0000079,director
tt0000080,nm0000080,director
tt0000081,nm0000081,director
tt0000082,nm0000082,director
tt0000083,nm0000083,director
tt0000084,nm0000084,director
